Name;Web of Science Documents;Times Cited;Rank;% Docs Cited;Category Normalized Citation Impact;International Collaborations;All Open Access Documents;% First Author (2008-2022);% Global Baseline (Docs);% Documents in Top 1%;% International Collaborations;Gold Documents;% Last Author (2008-2022);% Global Baseline (Cites);Citation Impact;% Documents in Top 10%;% Industry Collaborations;Gold - Hybrid Documents;% Corresponding Author (2008-2022);% Baseline for All Items (Docs);Average Percentile;% Highly Cited Papers;Location Type;Free to Read Documents;First Author (2008-2022);Industry Collaborations;% Baseline for All Items (Cites);Highly Cited Papers;Impact Relative to World;Last Author (2008-2022);Domestic Collaborations;% Baseline for Pinned Items (Docs);Green Submitted Documents;% Hot Papers;Green Accepted Documents;Corresponding Author (2008-2022);% Domestic Collaborations;% Baseline for Pinned Items (Cites);Documents in JIF Journals;Green Published Documents;Documents in Q1 Journals;Green Only Documents;Citations From Patents;Documents in Q2 Journals;Non-Open Access Documents;Documents in Q3 Journals;% All Open Access Documents;Documents in Q4 Journals;% Gold Documents;% Documents in Q1 Journals;% Gold - Hybrid Documents;% Documents in Q2 Journals;% Free to Read Documents;% Documents in Q3 Journals;% Green Submitted Documents;% Documents in Q4 Journals;% Green Accepted Documents;% Green Published Documents;Documents in Top 1%;Documents in Top 10%;% Green Only Documents;Hot Papers;% Non-Open Access Documents
COTE IVOIRE;164;5857;90;91.46;0.906198171;122;31;0;0.012158136;0.61;74.39;5;0;0.016360311;35.71341463;10.37;1.22;0;0;0.014036181;52.65358659;0;Country/Region;14;0;2;0.016456051;0;1.345626599;0;0;n/a;7;0;7;0;0;n/a;145;11;63;12;10;30;133;20;18.9;32;3.05;43.45;0;20.69;8.54;13.79;4.27;22.07;4.27;6.71;1;17;7.32;0;81.1
SENEGAL;208;5841;91;91.83;0.831507212;141;27;0;0.015420075;0.48;67.79;0;0;0.016315618;28.08173077;8.65;1.44;1;0;0.017801985;46.95303846;0;Country/Region;18;0;3;0.016411097;0;1.058076475;0;10;n/a;6;0;0;0;4.81;n/a;187;9;82;8;45;36;181;39;12.98;30;0;43.85;0.48;19.25;8.65;20.86;2.88;16.04;0;4.33;1;18;3.85;0;87.02
GHANA;210;5594;92;89.52;0.743940476;131;28;0;0.015568345;0.48;62.38;0;0;0.015625675;26.63809524;6.19;1.43;0;0;0.017973158;47.53372714;0;Country/Region;19;0;3;0.015717116;0;1.003682506;0;14;n/a;3;0;0;0;6.67;n/a;191;11;65;9;26;51;182;47;13.33;28;0;34.03;0;26.7;9.05;24.61;1.43;14.66;0;5.24;1;13;4.29;0;86.67
MALAWI;131;5548;93;91.6;0.974251908;94;18;0;0.009711682;0.76;71.76;0;0;0.015497184;42.35114504;11.45;0;1;0;0.011211827;52.06342901;0;Country/Region;13;0;0;0.015587873;0;1.595726084;0;2;n/a;0;0;2;0;1.53;n/a;127;4;60;4;15;30;113;13;13.74;24;0;47.24;0.76;23.62;9.92;10.24;0;18.9;1.53;3.05;1;15;3.05;0;86.26
ECUADOR;142;5120;94;89.44;1.73341831;93;34;0;0.010527166;2.82;65.49;2;0;0.014301655;36.05633803;11.97;1.41;2;0;0.012153279;50.49707817;0;Country/Region;7;0;2;0.014385348;0;1.358547426;0;2;n/a;20;0;0;0;1.41;n/a;130;22;54;23;9;32;108;17;23.94;27;1.41;41.54;1.41;24.62;4.93;13.08;14.08;20.77;0;15.49;4;17;16.2;0;76.06
NEPAL;179;4630;95;83.24;0.760877654;102;33;0;0.01327016;0.56;56.98;0;0;0.012932942;25.86592179;11.17;0;1;0;0.015319978;47.52174358;0;Country/Region;23;0;0;0.013008625;0;0.974588197;0;1;n/a;6;0;1;0;0.56;n/a;130;8;46;9;26;45;146;18;18.44;21;0;35.38;0.56;34.62;12.85;13.85;3.35;16.15;0.56;4.47;1;20;5.03;0;81.56
OMAN;267;4099;96;80.52;0.503;107;34;0;0.019794038;0;40.07;1;0;0.011449704;15.35205993;5.24;0.75;1;0;0.022851587;37.54746217;0;Country/Region;27;0;2;0.011516707;0;0.578442034;0;9;n/a;5;0;0;0;3.37;n/a;243;8;56;5;21;61;233;56;12.73;70;0.37;23.05;0.37;25.1;10.11;23.05;1.87;28.81;0;3;0;14;1.87;0;87.27
BOLIVIA;83;3871;97;83.13;1.312818072;67;13;0;0.006153203;3.61;80.72;4;0;0.010812833;46.63855422;14.46;2.41;0;0;0.007103677;52.36908916;0;Country/Region;6;0;2;0.01087611;0;1.757269075;0;2;n/a;3;0;0;0;2.41;n/a;73;6;35;3;37;15;70;18;15.66;5;4.82;47.95;0;20.55;7.23;24.66;3.61;6.85;0;7.23;3;12;3.61;0;84.34
GAMBIA;74;3631;98;95.95;1.131868919;54;22;0;0.005485988;0;72.97;1;0;0.010142443;49.06756757;17.57;2.7;1;0;0.006333399;61.72672703;0;Country/Region;15;0;2;0.010201796;0;1.848790567;0;1;n/a;3;0;1;0;1.35;n/a;71;10;52;5;44;10;52;6;29.73;3;1.35;73.24;1.35;14.08;20.27;8.45;4.05;4.23;1.35;13.51;0;13;6.76;0;70.27
UZBEKISTAN;410;3593;99;61.46;0.33267561;114;19;0;0.03039534;0;27.8;0;0;0.010036298;8.763414634;3.41;0.24;0;0;0.035090452;24.77821415;0;Country/Region;5;0;1;0.01009503;0;0.330192001;0;26;n/a;12;0;0;0;6.34;n/a;239;5;68;14;17;42;391;41;4.63;88;0;28.45;0;17.57;1.22;17.15;2.93;36.82;0;1.22;0;14;3.41;0;95.37
LUXEMBOURG;150;3581;100;72;0.755553333;85;21;0;0.011120246;0.67;56.67;1;0;0.010002778;23.87333333;8;3.33;1;0;0.01283797;39.396794;0;Country/Region;11;0;5;0.010061314;0;0.899510525;0;0;n/a;3;0;0;0;0;n/a;123;6;52;8;46;30;129;17;14;24;0.67;42.28;0.67;24.39;7.33;13.82;2;19.51;0;4;1;12;5.33;0;86
SYRIA;137;3333;101;83.21;0.757231387;70;5;0;0.010156492;0.73;51.09;3;0;0.009310042;24.32846715;6.57;0;0;0;0.011725346;46.45679781;0;Country/Region;1;0;0;0.009364524;0;0.916659268;0;2;n/a;1;0;2;0;1.46;n/a;109;0;30;1;20;33;132;25;3.65;21;2.19;27.52;0;30.28;0.73;22.94;0.73;19.27;1.46;0;1;9;0.73;0;96.35
BOTSWANA;141;2945;102;82.98;0.555085106;54;15;0;0.010453031;0;38.3;1;0;0.008226245;20.88652482;4.26;0;4;0;0.012067692;40.50487163;0;Country/Region;7;0;0;0.008274385;0;0.786972169;0;7;n/a;2;0;1;0;4.96;n/a;107;2;21;3;5;36;126;31;10.64;19;0.71;19.63;2.84;33.64;4.96;28.97;1.42;17.76;0.71;1.42;0;6;2.13;0;89.36
GABON;52;2911;103;98.08;1.285092308;43;9;0;0.003855019;3.85;82.69;0;0;0.008131273;55.98076923;21.15;13.46;0;0;0.004450496;58.61411346;0;Country/Region;5;0;7;0.008178857;0;2.109269385;0;0;n/a;0;0;0;0;0;n/a;52;4;30;4;106;3;43;9;17.31;10;0;57.69;0;5.77;9.62;17.31;0;19.23;0;7.69;2;11;7.69;0;82.69
TRINIDAD & TOBAGO;135;2889;104;83.7;0.705905185;52;10;0;0.010008222;0.74;38.52;2;0;0.00806982;21.4;7.41;0.74;1;0;0.011554173;40.77529259;0;Country/Region;6;0;1;0.008117045;0;0.806319125;0;1;n/a;3;0;0;0;0.74;n/a;114;2;33;1;16;23;125;20;7.41;38;1.48;28.95;0.74;20.18;4.44;17.54;2.22;33.33;0;1.48;1;10;0.74;0;92.59
PAPUA NEW GUINEA;94;2866;105;85.11;0.80448617;60;19;0;0.006968688;1.06;63.83;0;0;0.008005575;30.4893617;10.64;4.26;0;0;0.008045128;44.16591064;0;Country/Region;7;0;4;0.008052423;0;1.14879231;0;0;n/a;6;0;0;0;0;n/a;80;8;31;12;25;18;75;15;20.21;16;0;38.75;0;22.5;7.45;18.75;6.38;20;0;8.51;1;10;12.77;0;79.79
SUDAN;94;2840;106;90.43;0.889826596;56;9;0;0.006968688;2.13;59.57;1;0;0.007932949;30.21276596;8.51;1.06;1;0;0.008045128;45.57158723;0;Country/Region;4;0;1;0.007979373;0;1.138370608;0;3;n/a;2;0;1;0;3.19;n/a;86;1;32;3;4;17;85;21;9.57;16;1.06;37.21;1.06;19.77;4.26;24.42;2.13;18.6;1.06;1.06;2;8;3.19;0;90.43
